date,month,time_class,color,outcome,my_rating,opp_rating,opp_name,accuracy,opening,url
2023-09-10,2023-09,rapid,white,Loss,1391,1439,Linok_YT,,Englund Gambit 2.dxe5 Nc6 3.Nf3 Qe7,https://www.chess.com/game/live/88097975711
2023-09-11,2023-09,rapid,white,Loss,1382,1361,bossGilbert,,Queens Pawn Opening 1...d6 2.Bf4,https://www.chess.com/game/live/88151330313
2023-09-13,2023-09,rapid,black,Loss,1373,1369,MintChampion,,Kings Pawn Opening 1...e5,https://www.chess.com/game/live/88338554581
2023-09-13,2023-09,rapid,black,Loss,1366,1438,televize,,Birds Opening Dutch Variation 2.e3,https://www.chess.com/game/live/88338572969
2023-09-14,2023-09,rapid,white,Loss,1359,1398,STOIC_JOHN9,,Queens Pawn Opening Chigorin Variation 2...Nf6 3.Bf4 Bf5,https://www.chess.com/game/live/88440548589
2023-09-15,2023-09,rapid,white,Win,1367,1348,1984jr,,Queens Pawn Opening Accelerated London System,https://www.chess.com/game/live/88500129511
2023-09-15,2023-09,rapid,black,Loss,1359,1367,m7moud_222,,Nimzowitsch Larsen Attack Classical Variation 2.Bb2 Bf5 3.e3,https://www.chess.com/game/live/88500660745
2023-09-15,2023-09,rapid,white,Loss,1351,1379,elreydelpanini,,Queens Pawn Opening Accelerated London System 2...c6 3.e3,https://www.chess.com/game/live/88507242657
2023-09-15,2023-09,rapid,black,Loss,1342,1334,katlegoB,,Queens Pawn Opening Zukertort Variation 2...Bf5,https://www.chess.com/game/live/88507339683
2023-09-15,2023-09,rapid,black,Loss,1333,1328,Rajesh2288,,Kings Pawn Opening Leonardis Variation,https://www.chess.com/game/live/88519388617
2023-09-16,2023-09,rapid,black,Win,1341,1303,therealvarus,,Italian Game,https://www.chess.com/game/live/88600962693
2023-09-18,2023-09,rapid,white,Loss,1333,1352,IgorBuryatiya,,Queens Pawn Opening Accelerated London System,https://www.chess.com/game/live/88791167517
